TYPE,ECOLE,COMMUNE,NIVEAU,CIRCONSCRIPTION
E.P.PU,BOURG,BOURG BLANC,PS1/PS2,BREST ABERS
E.E.PU,BOURG,LANNILIS,CP ou CE1,BREST ABERS
E.P.PU,JEAN MOULIN,LE RELECQ KERHUON,CE2,BREST EST
E.P.PU,PETIT PARIS,BREST,CM2,BREST EST
E.P.PU,CHÂTEAU D'EAU,GOUESNOU,CM1 (sous réserves de modification des répartitions en fonction des inscriptions de l'été),BREST EST
E.P.PU,JACQUES PREVERT,GUIPAVAS,CE2,BREST EST
E.P.PU,MAURICE HENENSAL,GUIPAVAS,CM1,BREST EST
E.P.PU,BOURG,BOHARS,CE1,BREST NORD
E.P.PU,LUCIE ET RAYMOND AUBRAC,BREST,PS/MS,BREST NORD
E.P.PU,KERINOU,BREST,CM1,BREST NORD
E.P.PU,AUGUSTE DUPOUY,BREST,MS,BREST NORD
E.P.PU,JEAN ROSTAND,BREST,TPS/PS,BREST NORD
E.P.PU,PAULINE KERGOMARD,GUILERS,TPS/PS,BREST NORD
E.P.PU,MARCEL AYME,MILIZAC GUIPRONVEL,CE2,BREST NORD
E.P.PU,PILIER ROUGE,BREST,PS1/PS2,BREST VILLE
E.E.PU,SANQUER,BREST,CM1/CM2,BREST VILLE
E.P.PU,KERBERNARD,BREST,CE1/CE2,BREST VILLE
EE.PU,YVES DE KERGUELEN,BRIEC,CE1,CHATEAULIN
E.E.PU,MARIE CURIE,CHATEAULIN,CE1,CHATEAULIN
E.P.PU,JEAN JAURES,CROZON,CM2,CHATEAULIN
E.P.PU,RENEE LE NEE,L HOPITAL CAMFROUT,CE1,LANDERNEAU
E.P.PU,FERDINAND BUISSON,LANDERNEAU,GS,LANDERNEAU
E.P.PU,MARIE CURIE,LANDERNEAU,CE1,LANDERNEAU
E.P.PU,KERGREIS,LANDERNEAU,CE2/CM1,LANDERNEAU
E.P.PU,ERIC TABARLY,LOPERHET,Une classe à majorité CE1 ; très probablement avec quelques CE2,LANDERNEAU
E.P.PU,BOURG,PENCRAN,MS/GS,LANDERNEAU
E.P.PU,BOURG,ST URBAIN,PS/MS,LANDERNEAU
E.P.PU,ERIC TABARLY,LAMPAUL GUIMILIAU,CE1/CE2,LANDIVISIAU
E.P.PU,TANGUY PRIGENT,SANTEC,CM1/CM2,LANDIVISIAU
E.P.PU,ANITA CONTI,PLOUESCAT,CE1/CE2,LANDIVISIAU
E.P.PU,CHARLES PERRAULT,PLOUGOULM,CE1/CE2,LANDIVISIAU
E.P.PU,LES QUATRE VENTS,LANMEUR,CP,MORLAIX
E.P.PU,CORENTIN-CAER,MORLAIX,MS/GS,MORLAIX
E.P.PU,POAN BEN,MORLAIX,CP/CE1,MORLAIX
E.P.PU,JEAN JAURES,MORLAIX,MS,MORLAIX
E.M.PU,ROBERT DESNOS,PLEYBER CHRIST,MS/GS 28,MORLAIX
E.E.PU,ALBERT LARHER,PLOUGONVEN,CE2 20 E,MORLAIX
E.P.PU,JULES FERRY,HUELGOAT,TPS/PS/MS/GS,MORLAIX CENTRE FINISTERE
E.P.PU,PER-JAKEZ HELIAS,PLEYBEN,CE2/CM1,MORLAIX CENTRE FINISTERE
E.P.PU,KERAMPORIEL,CONCARNEAU,CE1/CE2,QUIMPER CORNOUAILLE
E.P.PU,BOURG,NEVEZ,TPS/PS,QUIMPER CORNOUAILLE
E.P.PU,NIZON,PONT AVEN,CE2/CM1,QUIMPER CORNOUAILLE
E.E.PU,BOURG,ST YVI,CE2,QUIMPER CORNOUAILLE
E.M.PU,BOURG,ST YVI,GS,QUIMPER CORNOUAILLE
E.P.PU,LUCIE AUBRAC,PLOMELIN,CE1 ou CP CE1 ou CM1 CM2,QUIMPER NORD
E.P.PU,PAUL EMILE VICTOR,PLONEIS,CM1,QUIMPER NORD
E.P.PU,ANTOINE de SAINT EXUPERY,PLUGUFFAN,TPS/PS (22 PS et une dizaine de TPS à rentrée échelonnée,QUIMPER NORD
E.P.PU,YVES LE MANCHEC,QUIMPER,CE1/CE2,QUIMPER NORD
E.P.PU,KERVILIEN,QUIMPER,CE1/CE2,QUIMPER NORD
E.P.PU,LEON GORAGUER,QUIMPER,PS/MS,QUIMPER NORD
E.P.PU,JULES FERRY,LOCTUDY,TPS-PS et éventuellement quelques moyennes sections,QUIMPER OUEST
E.P.PU,THOMAS DONNARD,PENMARCH,TPS/PS/MS ou GS/CP,QUIMPER OUEST
E.P.PU,KEROURGUE,FOUESNANT,CM2,QUIMPER SUD
E.P.PU,PAUL GRIMAULT-STANG AR C'HOAT,QUIMPER,CP,QUIMPER SUD
E.P.PU,LE ROUILLEN,ERGUE-GABERIC,MS,QUIMPER SUD
E.P.PU,KERGOAT-AR-LEZ,QUIMPER,CE1/CE2,QUIMPER SUD
E.P.PU,LEON BLUM,QUIMPER,CM2,QUIMPER SUD
E.P.PU,FREDERIC LE GUYADER,QUIMPER,CM2,QUIMPER SUD
E.P.PU,JEAN MONNET,QUIMPER,CE2,QUIMPER VILLE
E.P.PU,FERDINAND BUISSON,QUIMPER,CE1/CE2,QUIMPER VILLE
